"From Date","To Date","Duration (Days)","Holiday Name","Type","Comments"
"Jan 01, 2017","Jan 01, 2017","1","New Year's Day","Public Holiday",""
"Jan 02, 2017","Jan 02, 2017","1","New Year's Day (Observed)","Public Holiday","In lieu of Jan 01 (Sunday)"
"Mar 21, 2017","Mar 21, 2017","1","Human Rights Day","Public Holiday",""
"Mar 31, 2017","Apr 17, 2017","18","Term 1 Break","School Holiday","Easter break"
"Apr 14, 2017","Apr 14, 2017","1","Good Friday","Public Holiday",""
"Apr 17, 2017","Apr 17, 2017","1","Family Day","Public Holiday",""
"Apr 27, 2017","Apr 27, 2017","1","Freedom Day","Public Holiday",""
"May 01, 2017","May 01, 2017","1","Workers' Day","Public Holiday",""
"Jun 16, 2017","Jun 16, 2017","1","Youth Day","Public Holiday",""
"Jun 30, 2017","Jul 24, 2017","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2017","Aug 09, 2017","1","National Women's Day","Public Holiday",""
"Sep 24, 2017","Sep 24, 2017","1","Heritage Day","Public Holiday",""
"Sep 25, 2017","Sep 25, 2017","1","Heritage Day (Observed)","Public Holiday","In lieu of Sep 24 (Sunday)"
"Sep 29, 2017","Oct 08, 2017","10","Term 3 Break","School Holiday","Spring break"
"Dec 02, 2017","Jan 09, 2018","39","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2017","Dec 16, 2017","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2017","Dec 25, 2017","1","Christmas Day","Public Holiday",""
"Dec 26, 2017","Dec 26, 2017","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2018","Jan 01, 2018","1","New Year's Day","Public Holiday",""
"Mar 21, 2018","Mar 21, 2018","1","Human Rights Day","Public Holiday",""
"Mar 28, 2018","Apr 09, 2018","13","Term 1 Break","School Holiday","Easter break"
"Mar 30, 2018","Mar 30, 2018","1","Good Friday","Public Holiday",""
"Apr 02, 2018","Apr 02, 2018","1","Family Day","Public Holiday",""
"Apr 27, 2018","Apr 27, 2018","1","Freedom Day","Public Holiday",""
"May 01, 2018","May 01, 2018","1","Workers' Day","Public Holiday",""
"Jun 16, 2018","Jun 16, 2018","1","Youth Day","Public Holiday",""
"Jun 29, 2018","Jul 23, 2018","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2018","Aug 09, 2018","1","National Women's Day","Public Holiday",""
"Sep 24, 2018","Sep 24, 2018","1","Heritage Day","Public Holiday",""
"Sep 28, 2018","Oct 07, 2018","10","Term 3 Break","School Holiday","Spring break"
"Dec 12, 2018","Jan 08, 2019","28","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2018","Dec 16, 2018","1","Day of Reconciliation","Public Holiday",""
"Dec 17, 2018","Dec 17, 2018","1","Day of Reconciliation (Observed)","Public Holiday","In lieu of Dec 16 (Sunday)"
"Dec 25, 2018","Dec 25, 2018","1","Christmas Day","Public Holiday",""
"Dec 26, 2018","Dec 26, 2018","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2019","Jan 01, 2019","1","New Year's Day","Public Holiday",""
"Mar 20, 2019","Apr 01, 2019","13","Term 1 Break","School Holiday","Easter break"
"Mar 21, 2019","Mar 21, 2019","1","Human Rights Day","Public Holiday",""
"Apr 19, 2019","Apr 19, 2019","1","Good Friday","Public Holiday",""
"Apr 22, 2019","Apr 22, 2019","1","Family Day","Public Holiday",""
"Apr 27, 2019","Apr 27, 2019","1","Freedom Day","Public Holiday",""
"May 01, 2019","May 01, 2019","1","Labour Day","Public Holiday",""
"May 08, 2019","May 08, 2019","1","Election Day","Public Holiday","Once-off public holiday for national election"
"Jun 15, 2019","Jul 08, 2019","24","Term 2 Break","School Holiday","Mid-year break"
"Jun 16, 2019","Jun 16, 2019","1","Youth Day","Public Holiday",""
